Incident ID,Year,Month,Country Code,Country,Region,District,City,UN,INGO,ICRC,NRCS and IFRC,NNGO,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Motive,Actor type,Actor name,Details,Verified,Source,ActorGroup
1,1997,1,KH,Cambodia,Banteay Meanchey,Unknown,Unknown,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1 ICRC national staff killed while working in Banteay Meanchey province.,Archived,Archived,Unknown
2,1997,1,RW,Rwanda,Northern,Musanze,Ruhengeri,0,4,0,0,0,0,0,0,0,0,3,1,0,4,3,1,0,4,3,1,0,Shooting,Raid,Office/compound,Unknown,Unknown,Unknown,"3 INGO international (Spanish) staff killed, 1 INGO international (US) staff gravely wounded during armed raid on INGO compound in Ruhengeri, Rwanda.",Archived,Archived,Unknown
3,1997,2,TJ,Tajikistan,Unknown,Unknown,Unknown,4,0,2,0,0,0,0,0,4,4,0,0,2,2,0,0,6,6,0,0,6,Kidnapping,Unknown,Unknown,Unknown,Unknown,Unknown,"3 UN national staff, 1 UN international (Nigerian) staff, 1 ICRC international staff and 1 ICRC national staff kidnapped along with other (not included) UN staff, journalist and Tajik govt rep; released 48 hours later.",Archived,Archived,Unknown
4,1997,2,SO,Somalia,Lower Juba,Kismayo,Kismayo,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,Political,Non-state armed group: Regional,Al-Itihaad al-Islamiya,1 INGO international staff killed by Al ittihad militia in Kismayo.,Archived,Archived,Non-state Armed Group
5,1997,2,RW,Rwanda,Kigali,Kigali,Kigali,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Individual attack,Unknown,Political,Unknown,Unknown,1 UN national staff shot and killed in Kigali Feb 14.,Archived,Archived,Unknown
7,1997,5,CD,DR Congo,Unknown,Unknown,Unknown,0,0,0,10,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,10,Unknown,Combat/Crossfire,Unknown,Incidental,Non-state armed group: National,Alliance of Democratic Forces for the Liberation of Congo-Zaire (ADFL),10 NRCS staff first aid workers killed in fighting between Zairean troops and rebels from the Alliance of Democratic Forces for the Liberation of Congo-Zaire (ADFL).,Archived,Archived,Non-state Armed Group
6,1997,5,SL,Sierra Leone,Unknown,Unknown,Unknown,3,0,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,1,0,2,Unknown,Ambush,Road,Unknown,Unknown,Unknown,1 UN national staff driver killed and 2 UN national staff wounded when UN assessment team ambushed May 7.,Archived,Archived,Unknown
11,1997,6,SO,Somalia,Gedo,Baardheere,Tulo-Burago,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Kidnap-killing,Ambush,Road,Incidental,Non-state armed group: Regional,Al-Itihaad al-Islamiya,"1 UN national staff beheaded by Al-Ittihad militia after ambush near Tulo-Burago village in Gedo region. Another 3 UN national staff (not included) bound, questioned and later released. The victim, a senior SNF Commander, was the apparent target of the Al-Ittihad militia.",Yes,Focal Point,Non-state Armed Group
12,1997,6,RW,Rwanda,Northern,Musanze,Ruhengeri,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Combat/Crossfire,Unknown,Incidental,Unknown,Unknown,1 INGO national staff killed when he was among a group of villagers attacked by insurgents near Ruhengeri on June 8.,Archived,Archived,Unknown
8,1997,6,RW,Rwanda,Northern,Musanze,Ruhengeri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Individual attack,Home,Political,Non-state armed group: Unknown,Not applicable,"1 UN national staff shot and killed in Ruhengeri June 14. The staffer, his wife, young child and another relative were killed at night in their home in Rubange secteur.",Archived,Archived,Non-state Armed Group
